0 qid:413 1:1.3163400888442993 2:2.509976625442505 3:1.4163397550582886 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:7.051584243774414 14:7.051584243774414 15:10.981271743774414 16:0.0 17:11.079072952270508 18:0.0 19:7.051584243774414 20:7.051584243774414 21:8.496341705322266 22:0.0 23:8.07721996307373 24:0.0 25:8.213079452514648 26:8.213079452514648 27:4.714643955230713 28:0.0 29:4.219188690185547 30:0.0 31:8.024263381958008 32:8.024263381958008 33:0.0 34:976.0 #docno: FT922-8924
0 qid:314 1:0.7776426076889038 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:8.289775848388672 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:6.300117492675781 22:5.49064302444458 23:6.281783103942871 24:0.0 25:0.0 26:0.0 27:4.22253942489624 28:2.61510968208313 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:2489.0 #docno: LA082990-0067
0 qid:402 1:1.0705000162124634 2:0.0 3:1.3118795156478882 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:11.542237281799316 16:5.213433265686035 17:11.180273056030273 18:0.0 19:0.0 20:0.0 21:8.446028709411621 22:0.0 23:8.397713661193848 24:0.0 25:0.0 26:0.0 27:6.227750778198242 28:0.0 29:6.02236270904541 30:0.0 31:0.0 32:0.0 33:0.0 34:801.0 #docno: FT924-1947
0 qid:317 1:0.6738556027412415 2:0.0 3:1.071488380432129 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.156267166137695 16:8.644392967224121 17:0.0 18:0.0 19:0.0 20:0.0 21:6.614956378936768 22:0.0 23:6.9357075691223145 24:0.0 25:0.0 26:0.0 27:5.343809127807617 28:0.0 29:5.194603443145752 30:0.0 31:0.0 32:0.0 33:0.0 34:765.0 #docno: FT943-11513
0 qid:448 1:0.8696609139442444 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:8.930282592773438 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:6.408604145050049 22:4.909823417663574 23:0.0 24:0.0 25:0.0 26:0.0 27:3.6599502563476562 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:1754.0 #docno: LA122890-0078
1 qid:355 1:0.8326323628425598 2:2.458078384399414 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:10.449722290039062 16:0.0 17:10.96471881866455 18:0.0 19:0.0 20:0.0 21:7.5529351234436035 22:5.204525470733643 23:6.95700740814209 24:0.0 25:0.0 26:0.0 27:5.560419082641602 28:0.0 29:5.346522808074951 30:0.0 31:0.0 32:0.0 33:0.0 34:609.0 #docno: FT941-6291
1 qid:368 1:1.6286619901657104 2:0.0 3:2.0060300827026367 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:1.0990275144577026 14:1.0990275144577026 15:19.967674255371094 16:0.0 17:20.73334312438965 18:0.0 19:1.278344750404358 20:1.278344750404358 21:14.50847053527832 22:0.0 23:6.794180393218994 24:0.0 25:0.0 26:0.0 27:9.983168601989746 28:0.0 29:9.891515731811523 30:0.0 31:0.0 32:0.0 33:0.0 34:775.0 #docno: LA032790-0011
0 qid:446 1:0.8745323419570923 2:2.6445772647857666 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.03434944152832 16:0.0 17:9.101773262023926 18:0.0 19:0.0 20:0.0 21:6.89000940322876 22:0.0 23:7.045528411865234 24:0.0 25:0.0 26:0.0 27:4.560446739196777 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:611.0 #docno: LA012189-0029
0 qid:418 1:0.7207465171813965 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:6.594322681427002 16:0.0 17:6.465241432189941 18:0.0 19:0.0 20:0.0 21:5.326886177062988 22:0.0 23:5.122252464294434 24:0.0 25:0.0 26:0.0 27:5.027906894683838 28:0.0 29:4.952823638916016 30:0.0 31:0.0 32:0.0 33:0.0 34:495.0 #docno: FT944-8511
0 qid:320 1:2.1140689849853516 2:0.0 3:2.4396162033081055 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:26.669015884399414 16:0.0 17:25.485780715942383 18:0.0 19:1.2679443359375 20:0.0 21:18.40728187561035 22:0.0 23:17.751012802124023 24:0.0 25:0.0 26:0.0 27:12.178136825561523 28:0.0 29:11.954757690429688 30:0.0 31:0.0 32:0.0 33:0.0 34:1799.0 #docno: FBIS4-2794
1 qid:341 1:0.9963860511779785 2:2.5242538452148438 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.177249908447266 16:0.0 17:9.920265197753906 18:0.0 19:3.1364312171936035 20:3.1364312171936035 21:6.598021030426025 22:0.0 23:6.502631664276123 24:0.0 25:0.0 26:0.0 27:3.826927661895752 28:2.1178841590881348 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:1136.0 #docno: LA111089-0044
